County,Biden,Trump,De La Fuente Guerra,Hawkins,Jorgensen,La Riva,Carroll,Charles,Kishore,Pierce,Ventura
Alameda,"617,659","136,309","2,399","4,664","6,295","2,538",127,25,17,8,29
Alpine,476,244,0,4,15,2,0,0,0,0,0
Amador,"8,153","13,585",64,110,349,41,1,0,0,0,1
Butte,"50,426","48,730",324,507,"1,774",281,15,2,0,3,4
Calaveras,"10,046","16,518",72,125,359,44,0,0,0,0,0
Colusa,"3,239","4,559",30,25,81,27,0,0,0,0,0
Contra Costa,"416,386","152,877","1,949","2,618","6,116","1,284",57,14,2,3,10
Del Norte,"4,677","6,461",53,78,150,33,1,0,0,0,0
El Dorado,"51,621","61,838",240,460,"1,871",108,15,1,0,0,5
Fresno,"193,025","164,464","1,147","1,474","4,031",668,64,32,0,2,10
Glenn,"3,995","7,063",39,34,128,33,5,0,0,0,0
Humboldt,"44,768","21,770",251,625,"1,132",282,7,6,0,0,2
Imperial,"34,678","20,847",291,234,390,278,25,0,0,0,0
Inyo,"4,634","4,620",32,45,128,22,1,2,0,0,0
Kern,"133,366","164,484","1,264","1,074","3,942","1,096",35,20,0,2,9
Kings,"18,699","24,072",180,125,604,178,0,1,0,1,1
Lake,"14,941","13,123",89,207,374,66,2,5,1,2,2
Lassen,"2,799","8,970",26,31,141,18,0,0,0,0,2
Los Angeles,"3,028,885","1,145,530","15,999","21,660","35,452","15,917",485,127,30,72,208
Madera,"23,168","29,378",173,217,621,165,8,0,0,0,2
Marin,"128,288","24,612",380,724,"1,536",261,11,6,0,3,9
Mariposa,"4,088","5,950",26,39,155,22,0,0,0,0,0
Mendocino,"28,782","13,267",123,394,591,179,0,1,0,0,3
Merced,"48,991","39,397",391,388,941,433,10,0,0,0,0
Modoc,"1,150","3,109",13,15,39,12,2,2,0,0,1
Mono,"4,013","2,513",25,42,126,18,0,0,0,0,1
Monterey,"113,953","46,299",566,749,"1,820",496,27,5,2,0,6
Napa,"49,817","20,676",241,310,914,164,22,0,0,2,4
Nevada,"36,359","26,779",189,345,919,147,6,2,0,3,1
Orange,"814,009","676,498","4,642","5,819","17,325","3,432",297,44,5,12,30
Placer,"106,869","122,488",593,779,"3,948",340,41,15,0,1,10
Plumas,"4,561","6,445",31,39,153,27,3,0,0,1,0
Riverside,"528,340","449,144","3,392","3,372","9,970","2,789",122,12,1,4,10
Sacramento,"440,808","259,405","2,630","3,254","9,770","2,423",95,22,1,13,19
San Benito,"17,628","10,590",84,91,345,83,6,2,0,0,1
San Bernardino,"455,859","366,257","3,355","3,619","8,791","3,050",141,20,3,2,33
San Diego,"964,650","600,094","5,302","7,421","21,386","2,869",275,51,30,16,49
San Francisco,"378,156","56,417","1,262","2,781","3,299","1,543",48,17,5,7,18
San Joaquin,"161,137","121,098","1,251","1,064","2,929",964,34,8,0,0,7
San Luis Obispo,"88,310","67,436",455,794,"2,408",278,22,7,1,0,3
San Mateo,"291,496","75,584","1,145","1,595","3,554",797,59,4,2,3,12
Santa Barbara,"129,963","65,736",714,939,"2,416",520,35,7,2,0,7
Santa Clara,"617,967","214,612","2,623","4,040","9,131","2,149",151,24,8,7,29
Santa Cruz,"114,246","26,937",434,"1,062","1,704",413,17,8,3,4,9
Shasta,"30,000","60,789",281,368,"1,277",185,14,6,0,4,6
Sierra,730,"1,142",12,13,27,6,0,1,0,0,0
Siskiyou,"9,593","13,290",79,116,318,54,16,3,0,2,1
Solano,"131,639","69,306",825,958,"2,475",628,37,3,1,1,4
Sonoma,"199,938","61,825",832,"1,499","3,418",740,32,16,1,1,15
Stanislaus,"105,841","104,145",926,742,"2,494",728,62,7,0,0,9
Sutter,"17,367","24,375",126,136,521,115,3,0,0,0,1
Tehama,"8,911","19,141",111,90,403,65,7,2,0,0,1
Trinity,"2,851","3,188",27,50,117,25,0,0,0,0,1
Tulare,"66,105","77,579",632,483,"1,498",535,46,4,0,1,2
Tuolumne,"11,978","17,689",91,145,439,59,4,2,0,0,1
Ventura,"251,388","162,207","1,278","1,766","5,069",990,84,16,5,5,17
Yolo,"67,598","27,292",298,547,"1,206",323,24,3,1,0,2
Yuba,"11,230","17,676",153,124,510,94,4,4,0,0,1
