COUNTY,NUMBER OF SIGNATURES RECEIVED,NUMBER OF SIGNATURES VERIFIED,INVALID SIGNATURES,TOTAL VALID SIGNATURES
ALAMEDA,29343,29343,3285,26058
ALPINE,63,63,3,60
AMADOR,6017,6017,1051,4966
BUTTE,19329,19329,3387,15942
CALAVERAS,7264,7264,1452,5812
COLUSA,1821,1821,284,1537
CONTRA COSTA,51476,51476,7166,44310
DEL NORTE,2468,2468,543,1925
EL DORADO,26777,26777,4674,22103
FRESNO,76193,76193,17187,59006
GLENN,2967,2967,444,2523
HUMBOLDT,6152,6152,1076,5076
IMPERIAL,3369,3369,532,2837
INYO,1913,1913,346,1567
KERN,57101,57101,7741,49360
KINGS,10477,10477,1824,8653
LAKE,3249,3249,827,2422
LASSEN,3731,3731,876,2855
LOS ANGELES,328224,328224,63729,264495
MADERA,13981,13981,2812,11169
MARIN,7174,7174,886,6288
MARIPOSA,2197,2197,443,1754
MENDOCINO,3484,3484,721,2763
MERCED,12897,12897,2453,10444
MODOC,1221,1221,313,908
MONO,751,751,132,619
MONTEREY,14178,14178,2668,11510
NAPA,6183,6183,929,5254
NEVADA,11386,11386,2813,8573
ORANGE,285452,285452,69738,215714
PLACER,58515,58515,12647,45868
PLUMAS,2057,2057,383,1674
RIVERSIDE,186806,186806,40003,146803
SACRAMENTO,94231,94231,17782,76449
SAN BENITO,3692,3692,580,3112
SAN BERNARDINO,130382,130382,23907,106475
SAN DIEGO,238095,238095,59056,179039
SAN FRANCISCO,11762,11762,2356,9406
SAN JOAQUIN,36445,36445,4576,31869
SAN LUIS OBISPO,32219,32219,6566,25653
SAN MATEO,18740,18740,3648,15092
SANTA BARBARA,20818,20818,4331,16487
SANTA CLARA,59118,59118,11788,47330
SANTA CRUZ,11836,11836,2181,9655
SHASTA,24534,24534,5591,18943
SIERRA,493,493,87,406
SISKIYOU,6019,6019,1098,4921
SOLANO,22254,22254,3831,18423
SONOMA,25669,25669,5101,20568
STANISLAUS,34683,34683,5797,28886
SUTTER,8269,8269,1725,6544
TEHAMA,6713,6713,1506,5207
TRINITY,909,909,294,615
TULARE,36298,36298,7335,28963
TUOLUMNE,8144,8144,1751,6393
VENTURA,68614,68614,13386,55228
YOLO,9249,9249,1654,7595
YUBA,7947,7947,2111,5836
